Author, Title, Journal, Volume, Number, Pages, Year, DOI
"Atsushi Saito, Masaki Tsujikawa, Tetsuya Takakuwa, Shigehito Yamada, Akinobu Shimizu",Level set distribution model of nested structures using logarithmic transformation,Medical Image Analysis,56,,1?10,2019/5/10,10.1016/j.media.2019.05.003
"Shouhei Hanaoka, Yukihiro Nomura, Tomomi Takenaga, Masaki Murata, Takahiro Nakao, Soichiro Miki, Takeharu Yoshikawa, Naoto Hayashi, Osamu Abe, Akinobu Shimizu",HoTPiG: a novel graph-based 3-D image feature set and its applications to computer-assisted detection of cerebral aneurysms and lung nodules,International Journal of Computer Assisted Radiology and Surgery,14,121,1?13,2019/3/11,10.1007/s11548-019-01942-0
"Koyo Nakayama, Atsushi Saito, Elijah Biggs, Marius George Linguraru, Akinobu Shimizu","Liver segmentation from low-radiation-dose pediatric computed tomography using patient-specific, statistical modeling",International Journal of Computer Assisted Radiology and Surgery,14,121,1?12,2019/3/14,10.1007/s11548-019-01929-x
"Saadia Binte Alam, Manabu Nii, Akinobu Shimizu and Syoji Kobashi",Spatiotemporal Statistical Shape Model for Temporal Shape Change Analysis of Adult Brain,Current Medical Imaging Reviews,15,1,,2019,10.2174/1573405615666181120141147
"Motoki Katsube, Shigehito Yamada, Yutaka Yamaguchi, Tetsuya Takakuwa, Akira Yamamoto, Hirohiko Imai, Atsushi Saito, Akinobu Shimizu, Shigehiko Suzuki",Critical Growth Processes for the Midfacial Morphogenesis in the Early Prenatal Period,The Cleft Palate-Craniofacial Journal,56,8,1026?1037,2019/2/17,10.1177/1055665619827189
"Kiyoyuki Chinzei, Akinobu Shimizu, Kensaku Mori, Kanako Harada, Hideaki Takeda, Makoto Hashizume, Mayumi Ishizuka, Nobumasa Kato, Ryuzo Kawamori, Shunei Kyo, Kyosuke Nagata, Takashi Yamane, Ichiro Sakuma, Kazuhiko Ohe, Mamoru Mitsuishi",Regulatory Science on AI-based Medical Devices and Systems,Advanced Biomedical Engineering,7,,118?123,2018/5/24,10.14326/abe.7.118
"Rosdiana Shahril, Atsushi Saito, Akinobu Shimizu, Sabariah Baharun",Bleeding Classification of Enhanced Wireless Capsule Endoscopy Images using Deep Convolutional Neural Network,JOURNAL OF INFORMATION SCIENCE AND ENGINEERING,,,,2018,
"Kazuki Kasahara, Atsushi Saito, Tetsuya Takakuwa, Shigehito Yamada, Hiroshi Matsuzoe, Hidekata Hontani, Akinobu Shimizu",A spatiotemporal statistical shape model of the brain surface during human embryonic development,Advanced Biomedical Engineering,7,,146?155,2018/12/14,10.14326/abe.7.146
"Masashi Kishimoto, Atsushi Saito, Tetsuya Takakuwa, Shigehito Yamada, Hiroshi Matsuzoe, Hidekata Hontani, Akinobu Shimizu",A Spatiotemporal Statistical Model for Eyeballs of Human Embryos,IEICE TRANSACTIONS on Information and Systems,E100-D,7,1505?1515,2017/7/1,10.1587/transinf.2016EDP7493
"Atsushi Saito, Shigeru Nawano, Akinobu Shimizu","Fast approximation for joint optimization of segmentation, shape, and location priors, and its application in gallbladder segmentation",International Journal of Computer Assisted Radiology and Surgery,12,5,743?756,2017/3/27,10.1007/s11548-017-1571-z
"Shouhei Hanaoka, Yoshiyasu Nakano, Mitsutaka Nemoto, Yukihiro Nomura, Tomomi Takenaga, Soichiro Miki, Takeharu Yoshikawa, Naoto Hayashi, Yoshitaka Masutani, Akinobu Shimizu",Automatic detection of vertebral number abnormalities in body CT images,International Journal of Computer Assisted Radiology and Surgery,12,5,719?732,2017/1/6,10.1007/s11548-016-1516-y
"Shouhei Hanaoka, Yoshitaka Masutani, Mitsutaka Nemoto, Yukihiro Nomura, Soichiro Miki, Takeharu Yoshikawa, Naoto Hayashi, Kuni Ohtomo, Akinobu Shimizu",Landmark-guided diffeomorphic demons algorithm and its application to automatic segmentation of the whole spine and pelvis in CT images,International Journal of Computer Assisted Radiology and Surgery,12,3,413?430,2016/11/30,10.1007/s11548-016-1507-z
"Atsushi Saito, Seiji Yamamoto, Shigeru Nawano, Akinobu Shimizu",Automated liver segmentation from a postmortem CT scan based on a statistical shape model,International Journal of Computer Assisted Radiology and Surgery,12,2,205?221,2016/9/22,10.1007/s11548-016-1481-5
"Shouhei Hanaoka, Akinobu Shimizu, Mitsutaka Nemoto, Yukihiro Nomura, Soichiro Miki, Takeharu Yoshikawa, Naoto Hayashi, Kuni Ohtomo, Yoshitaka Masutani",Automatic detection of over 100 anatomical landmarks in medical CT images: a framework with independent detectors and combinatorial optimization,Medical Image Analysis,35,,192?214,2016/4/9,10.1016/j.media.2016.04.001
"Iwao Hasegawa, Akinobu Shimizu, Atsushi Saito, Hideto Suzuki, Hermann Vogel, Klaus P?schel, Axel Heinemann",Evaluation of post-mortem lateral cerebral ventricle changes using sequential scans during post-mortem computed tomography,International Journal of Legal Medicine,130,5,1323?1328,2016/4/5,10.1007/s00414-016-1327-2
"Atsushi Saito, Shigeru Nawano and Akinobu Shimizu","Joint optimization of segmentation and shape prior from level-set-based statistical shape model, and its application to the automated segmentation of abdominal organs",Medical Image Analysis,28,,46?65,2015/12/4,10.1016/j.media.2015.11.003
"Shun Umetsu, Akinobu Shimizu, Hidefumi Watanabe, Hidefumi Kobatake, Shigeru Nawano",An automated Segmentation Algorithm for CT Volumes of Livers with Atypical Shapes and Large Pathological Lesions,IEICE TRANSACTIONS on Information and Systems,E97-D,4,951-963,2014/4/1,10.1587/transinf.E97.D.951
"Sho Tomoshige, Elco Oost, Akinobu Shimizu, Hidefumi Watanabe, Shigeru Nawano",?A conditional statistical shape model with integrated error estimation of the conditions; application to liver segmentation in non-contrast CT images,Medical Image Analysis,18,,130-143,2013/10/17,10.1016/j.media.2013.10.003
"Atsushi Saito, Akinobu Shimizu, Hidefumi Watanabe, Seiji Yamamoto, Shigeru Nawano and Hidefumi Kobatake",Statistical Shape Model of a Liver for Autopsy Imaging,International Journal of Computer Assisted Radiology and Surgery,9,2,269-281,2013/7/23,10.1007/s11548-013-0923-6
"Akinobu Shimizu, Takuya Narihira, Daisuke Furukawa, Hidefumi Kobatake, Shigeru Nawano and Kenji Shinozaki",Ensemble learning based segmentation of metastatic liver tumours in contrast-enhanced computed tomography,IEICE TRANSACTIONS on Information and Systems,E96-D,4,864-868,2013/4/1,10.1587/transinf.E96.D.864
"Keita Nakagomi, Akinobu Shimizu, Hidefumi Kobatake, Masahiro Yakami, Koji Fujimoto,Kaori Togashi",Multi-shape graph cuts with neighbor prior constraints and its application to lung segmentation from a chest CT volume,Medical Image Analysis,17,,62-77,2012/9/23,10.1016/j.media.2012.08.002
"A. Shimizu, T. Kitasaka, S. Nawano, K. Shinozaki and Y. Tateno",3D Medical Image Processing Algorithm Competition in Japan,Proc. of International Forum on Medical Imaging in Asia (IFMIA) 2011,,,S1-2,2011,
"Akinobu Shimizu, Tatsuya Kimoto, Hidefumi Kobatake, Shigeru Nawano, Kenji Shinozaki",Automated pancreas segmentation from three-dimensional contrast-enhanced computed tomography,International Journal of Computer Assisted Radiology and Surgery,5,85,85-98,2009/7/18,10.1007/s11548-009-0384-0
"Akinobu Shimizu, Takuya Narihira, Daisuke Furukawa, Hidefumi Kobatake, Shigeru Nawano and Kenji Shinozaki",Ensemble segmentation using AdaBoost with application to liver lesion extraction from a CT volume,Proc. of workshop in MICCAI2008,,,,2008,
"Ludvik Tesar , Akinobu Shimizu, Daniel Smutek, Hidefumi Kobatak, Shigeru Nawano",Medical image analysis of 3D CT images based on extension of Haralick texture features,Computerized Medical Imaging and Graphics,32,6,513-520,2008/7/9,10.1016/j.compmedimag.2008.05.005
"Akinobu Shimizu, Rena Ohno, Takaya Ikegami, Hidefumi Kobatake, Shigeru Nawano, Daniel Smutek",Segmentation of multiple organs in non-contrast 3D abdominal CT images,International Journal of Computer Assisted Radiology and Surgery,2,3-4,135-142,2007/11/27,10.1007/s11548-007-0135-z
"Cong Yao, Takashige Wada, Akinobu Shimizu, Hidefumi Kobatake, Shigeru Nawano",Probabilistic Atlas-guided Eigen-organ Method for Simultaneous Bounding Box Estimation of Multiple Organs in Volumetric CT Images,Medical Imaging Technology,24,3,191-200,2006/5/1,10.11409/mit.24.191
